Sample	total_reads	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
annotated_bowtie2_Female_H6_H_2	23079953	23079953	5364425	11733023	5982505	76.76											
annotated_bowtie2_Female_H6_OV_1	21835314	21835314	3667736	12542609	5624969	83.2											
annotated_bowtie2_Female_H6_OV_2	22500204	22500204	3572503	13720334	5207367	84.12											
annotated_bowtie2_Female_H6_RT_1	63461143	63461143	18104064	28147403	17209676	71.47											
annotated_bowtie2_Female_H6_RT_2	66379329	66379329	18953106	29274775	18151448	71.45											
annotated_bowtie2_Female_H6_RT_3	29679225	29679225	8016686	13694170	7968369	72.99											
annotated_bowtie2_Female_V_CR_1	23575548	23575548	5274858	11853088	6447602	77.63											
annotated_bowtie2_Female_V_CR_2	23450701	23450701	5237266	11965075	6248360	77.67											
annotated_bowtie2_Female_V_H_1	29447787	29447787	8830836	13251492	7365459	70.01											
annotated_bowtie2_Female_V_H_2	21852130	21852130	6659729	9727078	5465323	69.52											
annotated_bowtie2_Female_V_OV_1	22188237	22188237	3721476	13126776	5339985	83.23											
annotated_bowtie2_Female_V_OV_2	22964123	22964123	4329148	12850063	5784912	81.15											
annotated_bowtie2_Female_V_RT_1	42005413	42005413	12475745	18324784	11204884	70.3											
annotated_bowtie2_Female_V_RT_2	36750845	36750845	11394555	15288448	10067842	69.0											
annotated_bowtie2_Female_V_RT_3	51539988	51539988	14655600	22897018	13987370	71.56											
annotated_bowtie2_Male_AG_1	16172581					52.69	16172581	7650577	6361233	2160771							
annotated_bowtie2_Male_AG_2	47155350	47155350	21468974	20855523	4830853	54.47											
annotated_bowtie2_Male_AG_3	37498435	37498435	12835413	20208144	4454878	65.77											
annotated_bowtie2_Male_CR_1	15133571					63.15	15133571	5577276	5974883	3581412							
annotated_bowtie2_Male_CR_2	21180074	21180074	8502069	8843556	3834449	59.86											
annotated_bowtie2_Male_CR_3	20651676	20651676	7661450	8390534	4599692	62.9											
annotated_bowtie2_Male_EB_1	53484728	53484728	13267215	32022860	8194653	75.19											
annotated_bowtie2_Male_EB_2	24988526	24988526	7470346	13662404	3855776	70.1											
annotated_bowtie2_Male_TS_1	26854579					69.87	26854579	8092485	12863130	5898964							
annotated_bowtie2_Male_TS_2	31556027	31556027	6144194	18115116	7296717	80.53											
annotated_bowtie2_Male_TS_3	32925441	32925441	6256555	18613515	8055371	81.0											
hisat2_Female_C12_RT_1	20916726	20916726	1510681	18950064	455981	92.78											
hisat2_Female_C12_RT_2	30522119	30522119	2113569	27757089	651461	93.08											
hisat2_Female_C12_RT_3	30402734	30402734	1674420	27691973	1036341	94.49											
hisat2_Female_C3_RT_1	21451101	21451101	1360418	19317652	773031	93.66											
hisat2_Female_C3_RT_2	24462610	24462610	1503944	22134283	824383	93.85											
hisat2_Female_C3_RT_3	26378949	26378949	1674130	23802791	902028	93.65											
hisat2_Female_C6_H_1	54464553	54464553	2934040	49980239	1550274	94.61											
hisat2_Female_C6_H_2	21873455	21873455	1335521	19923023	614911	93.89											
hisat2_Female_C6_OV_1	53594142	53594142	1586420	51081131	926591	97.04											
hisat2_Female_C6_OV_2	49710455	49710455	1420024	47414719	875712	97.14											
hisat2_Female_C6_RT_1	32226306	32226306	2136048	28969765	1120493	93.37											
hisat2_Female_C6_RT_2	37738773	37738773	2384913	34121607	1232253	93.68											
hisat2_Female_C6_RT_3	23530034	23530034	1525108	21559446	445480	93.52											
hisat2_Female_H12_RT_1	48231474	48231474	2311820	44377411	1542243	95.21											
hisat2_Female_H12_RT_2	52789788	52789788	2470403	48577083	1742302	95.32											
hisat2_Female_H12_RT_3	49017871	49017871	2653324	44726912	1637635	94.59											
hisat2_Female_H3_RT_1	54429859	54429859	2838590	49652296	1938973	94.78											
hisat2_Female_H3_RT_2	27876750	27876750	1453603	25492506	930641	94.79											
hisat2_Female_H3_RT_3	49269623	49269623	2626118	44590986	2052519	94.67											
hisat2_Female_H6_H_1	21432357	21432357	1093467	19651288	687602	94.9											
hisat2_Female_H6_H_2	23079953	23079953	1116170	21208280	755503	95.16											
hisat2_Female_H6_OV_1	21835314	21835314	605324	20918641	311349	97.23											
hisat2_Female_H6_OV_2	22500204	22500204	607923	21474283	417998	97.3											
hisat2_Female_H6_RT_1	63461143	63461143	3219996	58143538	2097609	94.93											
hisat2_Female_H6_RT_2	66379329	66379329	3260895	60792812	2325622	95.09											
hisat2_Female_H6_RT_3	29679225	29679225	1420813	27178340	1080072	95.21											
hisat2_Female_V_CR_1	23575548	23575548	1113975	21372683	1088890	95.27											
hisat2_Female_V_CR_2	23450701	23450701	1022078	21205295	1223328	95.64											
