Sample	FastQC_percent_duplicates-1	FastQC_percent_gc-1	FastQC_avg_sequence_length-1	FastQC_percent_fails-1	FastQC_total_sequences-1	Bowtie 2_overall_alignment_rate-1
Male_EB_1.R1	83.18783696678146	47.0	87.84852771430378	16.666666666666664	53484728.0	
Male_EB_2.R1	72.30620712649251	49.0	82.4462892289045	33.33333333333333	24988526.0	
Male_TS_1.R1	56.70267483964144	47.0	89.0640265483216	25.0	26854579.0	
Male_TS_1.R2	51.497149469475964	47.0	89.61150651440114	25.0	26854579.0	
Male_TS_2.R1	68.13043662757035	48.0	86.53396138873883	16.666666666666664	31556027.0	
Male_TS_3.R1	66.74695351000369	49.0	86.14460653693294	16.666666666666664	32925441.0	
PASA_bowtie2_Female_C12_RT_1						67.44
PASA_bowtie2_Female_C12_RT_2						68.91
PASA_bowtie2_Female_C12_RT_3						66.08
PASA_bowtie2_Female_C3_RT_1						64.61
PASA_bowtie2_Female_C3_RT_2						65.59
PASA_bowtie2_Female_C3_RT_3						65.16
PASA_bowtie2_Female_C6_H_1						80.6
PASA_bowtie2_Female_C6_H_2						78.99
PASA_bowtie2_Female_C6_OV_1						82.0
PASA_bowtie2_Female_C6_OV_2						82.01
PASA_bowtie2_Female_C6_RT_1						65.95
PASA_bowtie2_Female_C6_RT_2						64.4
PASA_bowtie2_Female_C6_RT_3						64.98
PASA_bowtie2_Female_H12_RT_1						72.23
PASA_bowtie2_Female_H12_RT_2						72.13
PASA_bowtie2_Female_H12_RT_3						63.9
PASA_bowtie2_Female_H3_RT_1						70.47
PASA_bowtie2_Female_H3_RT_2						69.93
PASA_bowtie2_Female_H3_RT_3						72.56
PASA_bowtie2_Female_H6_H_1						82.53
PASA_bowtie2_Female_H6_H_2						82.35
PASA_bowtie2_Female_H6_OV_1						83.47
PASA_bowtie2_Female_H6_OV_2						84.17
PASA_bowtie2_Female_H6_RT_1						70.59
PASA_bowtie2_Female_H6_RT_2						70.83
PASA_bowtie2_Female_H6_RT_3						72.25
PASA_bowtie2_Female_V_CR_1						83.6
PASA_bowtie2_Female_V_CR_2						83.46
PASA_bowtie2_Female_V_H_1						76.41
PASA_bowtie2_Female_V_H_2						74.36
PASA_bowtie2_Female_V_OV_1						83.17
PASA_bowtie2_Female_V_OV_2						82.49
PASA_bowtie2_Female_V_RT_1						70.99
PASA_bowtie2_Female_V_RT_2						69.99
PASA_bowtie2_Female_V_RT_3						72.23
PASA_bowtie2_Male_AG_1						86.68
PASA_bowtie2_Male_AG_2						87.02
PASA_bowtie2_Male_AG_3						93.76
PASA_bowtie2_Male_CR_1						88.61
PASA_bowtie2_Male_CR_2						89.98
PASA_bowtie2_Male_CR_3						86.16
PASA_bowtie2_Male_EB_1						59.04
PASA_bowtie2_Male_EB_2						63.45
PASA_bowtie2_Male_TS_1						86.93
PASA_bowtie2_Male_TS_2						94.83
PASA_bowtie2_Male_TS_3						94.69
annotated_bowtie2_Female_C12_RT_1						68.26
annotated_bowtie2_Female_C12_RT_2						69.91
annotated_bowtie2_Female_C12_RT_3						68.7
annotated_bowtie2_Female_C3_RT_1						66.25
annotated_bowtie2_Female_C3_RT_2						67.94
annotated_bowtie2_Female_C3_RT_3						66.95
annotated_bowtie2_Female_C6_H_1						73.53
annotated_bowtie2_Female_C6_H_2						72.32
annotated_bowtie2_Female_C6_OV_1						82.8
annotated_bowtie2_Female_C6_OV_2						82.9
annotated_bowtie2_Female_C6_RT_1						68.08
annotated_bowtie2_Female_C6_RT_2						68.21
annotated_bowtie2_Female_C6_RT_3						70.53
annotated_bowtie2_Female_H12_RT_1						72.93
annotated_bowtie2_Female_H12_RT_2						73.27
annotated_bowtie2_Female_H12_RT_3						69.68
annotated_bowtie2_Female_H3_RT_1						70.97
annotated_bowtie2_Female_H3_RT_2						70.45
annotated_bowtie2_Female_H3_RT_3						71.73
annotated_bowtie2_Female_H6_H_1						74.71
annotated_bowtie2_Female_H6_H_2						76.76
annotated_bowtie2_Female_H6_OV_1						83.2
annotated_bowtie2_Female_H6_OV_2						84.12
annotated_bowtie2_Female_H6_RT_1						71.47
annotated_bowtie2_Female_H6_RT_2						71.45
annotated_bowtie2_Female_H6_RT_3						72.99
annotated_bowtie2_Female_V_CR_1						77.63
annotated_bowtie2_Female_V_CR_2						77.67
annotated_bowtie2_Female_V_H_1						70.01
annotated_bowtie2_Female_V_H_2						69.52
annotated_bowtie2_Female_V_OV_1						83.23
annotated_bowtie2_Female_V_OV_2						81.15
annotated_bowtie2_Female_V_RT_1						70.3
annotated_bowtie2_Female_V_RT_2						69.0
annotated_bowtie2_Female_V_RT_3						71.56
annotated_bowtie2_Male_AG_1						52.69
annotated_bowtie2_Male_AG_2						54.47
annotated_bowtie2_Male_AG_3						65.77
annotated_bowtie2_Male_CR_1						63.15
annotated_bowtie2_Male_CR_2						59.86
annotated_bowtie2_Male_CR_3						62.9
annotated_bowtie2_Male_EB_1						75.19
annotated_bowtie2_Male_EB_2						70.1
annotated_bowtie2_Male_TS_1						69.87
annotated_bowtie2_Male_TS_2						80.53
annotated_bowtie2_Male_TS_3						81.0
hisat2_Female_C12_RT_1						92.78
hisat2_Female_C12_RT_2						93.08
hisat2_Female_C12_RT_3						94.49
hisat2_Female_C3_RT_1						93.66
hisat2_Female_C3_RT_2						93.85
hisat2_Female_C3_RT_3						93.65
hisat2_Female_C6_H_1						94.61
hisat2_Female_C6_H_2						93.89
hisat2_Female_C6_OV_1						97.04
hisat2_Female_C6_OV_2						97.14
hisat2_Female_C6_RT_1						93.37
hisat2_Female_C6_RT_2						93.68
hisat2_Female_C6_RT_3						93.52
hisat2_Female_H12_RT_1						95.21
hisat2_Female_H12_RT_2						95.32
hisat2_Female_H12_RT_3						94.59
hisat2_Female_H3_RT_1						94.78
hisat2_Female_H3_RT_2						94.79
hisat2_Female_H3_RT_3						94.67
hisat2_Female_H6_H_1						94.9
hisat2_Female_H6_H_2						95.16
hisat2_Female_H6_OV_1						97.23
hisat2_Female_H6_OV_2						97.3
hisat2_Female_H6_RT_1						94.93
hisat2_Female_H6_RT_2						95.09
hisat2_Female_H6_RT_3						95.21
hisat2_Female_V_CR_1						95.27
hisat2_Female_V_CR_2						95.64
hisat2_Female_V_H_1						93.56
hisat2_Female_V_H_2						93.53
hisat2_Female_V_OV_1						97.21
hisat2_Female_V_OV_2						96.99
hisat2_Female_V_RT_1						94.67
hisat2_Female_V_RT_2						94.72
hisat2_Female_V_RT_3						94.6
hisat2_Male_AG_1						89.36
hisat2_Male_AG_2						77.93
hisat2_Male_AG_3						86.39
hisat2_Male_CR_1						92.92
hisat2_Male_CR_2						85.64
hisat2_Male_CR_3						79.5
hisat2_Male_EB_1						86.83
hisat2_Male_EB_2						80.73
hisat2_Male_TS_1						93.61
hisat2_Male_TS_2						93.53
hisat2_Male_TS_3						93.02
