Sample	SE mapped uniquely	SE multimapped	SE not aligned
annotated_bowtie2_Male_EB_2	13662404.0	3855776.0	7470346.0
annotated_bowtie2_Male_TS_2	18115116.0	7296717.0	6144194.0
annotated_bowtie2_Male_TS_3	18613515.0	8055371.0	6256555.0
hisat2_Female_C12_RT_1	18950064.0	455981.0	1510681.0
hisat2_Female_C12_RT_2	27757089.0	651461.0	2113569.0
hisat2_Female_C12_RT_3	27691973.0	1036341.0	1674420.0
hisat2_Female_C3_RT_1	19317652.0	773031.0	1360418.0
hisat2_Female_C3_RT_2	22134283.0	824383.0	1503944.0
hisat2_Female_C3_RT_3	23802791.0	902028.0	1674130.0
hisat2_Female_C6_H_1	49980239.0	1550274.0	2934040.0
hisat2_Female_C6_H_2	19923023.0	614911.0	1335521.0
hisat2_Female_C6_OV_1	51081131.0	926591.0	1586420.0
hisat2_Female_C6_OV_2	47414719.0	875712.0	1420024.0
hisat2_Female_C6_RT_1	28969765.0	1120493.0	2136048.0
hisat2_Female_C6_RT_2	34121607.0	1232253.0	2384913.0
hisat2_Female_C6_RT_3	21559446.0	445480.0	1525108.0
hisat2_Female_H12_RT_1	44377411.0	1542243.0	2311820.0
hisat2_Female_H12_RT_2	48577083.0	1742302.0	2470403.0
hisat2_Female_H12_RT_3	44726912.0	1637635.0	2653324.0
hisat2_Female_H3_RT_1	49652296.0	1938973.0	2838590.0
hisat2_Female_H3_RT_2	25492506.0	930641.0	1453603.0
hisat2_Female_H3_RT_3	44590986.0	2052519.0	2626118.0
hisat2_Female_H6_H_1	19651288.0	687602.0	1093467.0
hisat2_Female_H6_H_2	21208280.0	755503.0	1116170.0
hisat2_Female_H6_OV_1	20918641.0	311349.0	605324.0
hisat2_Female_H6_OV_2	21474283.0	417998.0	607923.0
hisat2_Female_H6_RT_1	58143538.0	2097609.0	3219996.0
hisat2_Female_H6_RT_2	60792812.0	2325622.0	3260895.0
hisat2_Female_H6_RT_3	27178340.0	1080072.0	1420813.0
hisat2_Female_V_CR_1	21372683.0	1088890.0	1113975.0
hisat2_Female_V_CR_2	21205295.0	1223328.0	1022078.0
hisat2_Female_V_H_1	26538720.0	1012324.0	1896743.0
hisat2_Female_V_H_2	19806046.0	633207.0	1412877.0
hisat2_Female_V_OV_1	21144192.0	424266.0	619779.0
hisat2_Female_V_OV_2	21869237.0	403780.0	691106.0
hisat2_Female_V_RT_1	38217982.0	1547201.0	2240230.0
hisat2_Female_V_RT_2	33401801.0	1409267.0	1939777.0
hisat2_Female_V_RT_3	46765656.0	1991077.0	2783255.0
hisat2_Male_AG_2	34413758.0	2335320.0	10406272.0
hisat2_Male_AG_3	30893316.0	1499880.0	5105239.0
hisat2_Male_CR_2	14738481.0	3399928.0	3041665.0
hisat2_Male_CR_3	14832768.0	1585341.0	4233567.0
hisat2_Male_EB_1	44183598.0	2256229.0	7044901.0
hisat2_Male_EB_2	19565106.0	608675.0	4814745.0
hisat2_Male_TS_2	28655683.0	858218.0	2042126.0
hisat2_Male_TS_3	29912303.0	715488.0	2297650.0
